Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-30T01:54:24.517Z","pro-free-trial","auto","No","8094","0","93952","0","102046","0.03"
"2025-12-30T01:52:54.786Z","pro-free-trial","auto","No","93634","0","196096","3849","293579","0.19"
"2025-12-29T21:05:15.090Z","pro-free-trial","gpt-5.2","No","0","331205","637312","6701","975218","0.78"
"2025-12-29T21:02:46.557Z","pro-free-trial","claude-4.5-sonnet-thinking","No","14887","3154","944105","4359","966505","0.41"
"2025-12-29T20:58:29.981Z","pro-free-trial","claude-4.5-sonnet-thinking","No","141134","1024","922184","6928","1071270","0.91"
"2025-12-29T20:54:24.254Z","pro-free-trial","claude-4.5-sonnet-thinking","No","24924","1925","1271136","5654","1303639","0.57"
"2025-12-29T20:53:38.225Z","pro-free-trial","gpt-5.2","No","0","87414","1326848","11193","1425455","0.54"
"2025-12-29T20:52:35.202Z","pro-free-trial","claude-4.5-sonnet-thinking","No","20700","2373","635944","5723","664740","0.36"
"2025-12-29T20:52:12.647Z","pro-free-trial","claude-4.5-sonnet-thinking","No","17393","606","187953","5365","211317","0.20"
"2025-12-29T20:50:06.524Z","pro-free-trial","claude-4.5-sonnet-thinking","No","108477","1135","965563","6318","1081493","0.79"
"2025-12-29T20:49:11.128Z","pro-free-trial","claude-4.5-sonnet-thinking","No","12252","4937","77286","2816","97291","0.13"
"2025-12-29T20:32:56.228Z","pro-free-trial","claude-4.5-sonnet-thinking","No","101406","1193","1124848","8615","1236062","0.85"
"2025-12-29T20:29:00.781Z","pro-free-trial","claude-4.5-sonnet-thinking","No","14393","3354","140024","3261","161032","0.15"
"2025-12-29T20:26:20.049Z","pro-free-trial","claude-4.5-sonnet-thinking","No","53895","8162","70527","2282","134866","0.28"
"2025-12-29T20:19:41.594Z","pro-free-trial","claude-4.5-sonnet-thinking","No","41912","4730","550897","9025","606564","0.47"
"2025-12-29T20:19:04.237Z","pro-free-trial","claude-4.5-sonnet-thinking","No","2647","2523","13579","737","19486","0.03"
"2025-12-29T20:18:22.186Z","pro-free-trial","claude-4.5-sonnet-thinking","No","593","568303","13579","3754","586229","0.20"
"2025-12-29T20:15:07.235Z","pro-free-trial","claude-4.5-sonnet-thinking","No","145300","1737","614765","5177","766979","0.81"
"2025-12-29T20:05:32.497Z","pro-free-trial","claude-4.5-sonnet-thinking","No","21600","230","272229","1286","295345","0.18"
"2025-12-29T20:03:19.369Z","pro-free-trial","claude-4.5-sonnet-thinking","No","80476","2292","792357","5163","880288","0.62"
"2025-12-29T20:00:38.138Z","pro-free-trial","claude-4.5-sonnet-thinking","No","70155","791","935856","10997","1017799","0.71"
"2025-12-29T19:58:16.036Z","pro-free-trial","gpt-5.2","No","0","58470","297600","3771","359841","0.21"
"2025-12-29T19:50:24.369Z","pro-free-trial","gpt-5.2","No","0","81958","532096","10602","624656","0.38"
"2025-12-29T19:41:23.648Z","pro-free-trial","claude-4.5-sonnet-thinking","No","80724","5558","736236","20800","843318","0.85"
"2025-12-29T19:36:41.870Z","pro-free-trial","claude-4.5-sonnet-thinking","No","11517","3140","120427","6908","141992","0.19"
